# PRIOR TO FIXING
Missing track in vital file: 3, {'SNUADC/ART'}
Missing track in vital file: 14, {'SNUADC/ART'}
Missing track in vital file: 91, {'SNUADC/ART'}
Missing track in vital file: 103, {'BIS/EEG1_WAV'}
Missing track in vital file: 160, {'SNUADC/ECG_II'}
Missing track in vital file: 207, {'SNUADC/ART'}
Missing track in vital file: 272, {'BIS/EEG1_WAV'}
Missing track in vital file: 302, {'SNUADC/ART'}
Missing track in vital file: 325, {'BIS/EEG1_WAV'}
Missing track in vital file: 326, {'SNUADC/ART'}
Missing track in vital file: 351, {'SNUADC/ART'}
Missing track in vital file: 381, {'SNUADC/ART'}
Missing track in vital file: 386, {'SNUADC/ART'}
Missing track in vital file: 424, {'SNUADC/ART'}
Missing track in vital file: 438, {'SNUADC/ART'}
Missing track in vital file: 483, {'SNUADC/ART'}
Missing track in vital file: 489, {'SNUADC/ART'}
Missing track in vital file: 506, {'BIS/EEG1_WAV'}
Missing track in vital file: 557, {'SNUADC/ART'}
Missing track in vital file: 565, {'SNUADC/ART', 'BIS/EEG1_WAV'}
Missing track in vital file: 578, {'SNUADC/ART'}
Missing track in vital file: 596, {'BIS/EEG1_WAV'}
Missing track in vital file: 658, {'SNUADC/ART'}
Missing track in vital file: 688, {'SNUADC/ART', 'BIS/EEG1_WAV'}
Missing track in vital file: 693, {'SNUADC/ART'}
Missing track in vital file: 707, {'SNUADC/ART'}
Missing track in vital file: 735, {'SNUADC/ART'}
Missing track in vital file: 796, {'SNUADC/ART'}
Missing track in vital file: 817, {'SNUADC/ART'}
Missing track in vital file: 845, {'SNUADC/ART'}
Missing track in vital file: 897, {'SNUADC/ART', 'BIS/EEG1_WAV'}
Missing track in vital file: 911, {'SNUADC/ART'}
Missing track in vital file: 914, {'SNUADC/ART'}
Missing track in vital file: 997, {'SNUADC/ART'}
Missing track in vital file: 1036, {'SNUADC/ART'}
Missing track in vital file: 1129, {'SNUADC/ART'}
Missing track in vital file: 1147, {'SNUADC/ART'}
Missing track in vital file: 1153, {'SNUADC/ART'}
Missing track in vital file: 1155, {'SNUADC/ART'}
Missing track in vital file: 1167, {'SNUADC/ART'}
Missing track in vital file: 1172, {'SNUADC/ECG_II', 'SNUADC/ART'}
Missing track in vital file: 1223, {'SNUADC/ART'}
Missing track in vital file: 1250, {'SNUADC/ART'}
Missing track in vital file: 1262, {'SNUADC/ART'}
Missing track in vital file: 1352, {'SNUADC/ART'}
Missing track in vital file: 1433, {'SNUADC/ART'}
